index,true_label,b,g,r,label,description_lengths,description_lengths_unnormalized
117,0,255,217,206,0,[0.47139406 0.52860594],[10.46792559 11.7383908 ]
1398,0,252,209,200,0,[0.43930337 0.56069663],[ 8.50338203 10.85313252]
11648,0,158,105,101,1,[0.61738198 0.38261802],[10.94171571  6.78104921]
16962,0,255,187,150,0,[0.39068937 0.60931063],[ 6.41931527 10.01142416]
18563,0,255,193,152,0,[0.4078936 0.5921064],[ 7.41350345 10.76158782]
18572,0,253,195,157,0,[0.35211421 0.64788579],[ 5.75760426 10.59392059]
20467,0,154,94,40,1,[0.64188392 0.35811608],[14.62308022  8.1584223 ]
20542,0,247,193,149,0,[0.3274062 0.6725938],[4.77327358 9.80578336]
24237,0,234,186,148,0,[0.33522941 0.66477059],[4.83904516 9.59598067]
27381,0,193,126,58,0,[0.47571509 0.52428491],[7.44014487 8.19977279]
27680,0,217,165,125,0,[0.33921489 0.66078511],[4.41906898 8.60827472]
28171,0,183,118,62,0,[0.47998316 0.52001684],[7.24807803 7.85261428]
29043,0,191,127,63,0,[0.42145265 0.57854735],[5.82273868 7.99314006]
29650,0,237,181,144,0,[0.3588281 0.6411719],[5.08244451 9.08156451]
32950,0,213,162,145,0,[0.30705112 0.69294888],[3.64561159 8.2273677 ]
34913,0,223,153,101,0,[0.29698938 0.70301062],[3.56710244 8.44377296]
38030,0,230,184,171,0,[0.35856461 0.64143539],[5.14810582 9.20943444]
42596,0,206,138,99,0,[0.38943132 0.61056868],[5.1654585  8.09864787]
45564,0,212,150,109,0,[0.28130539 0.71869461],[3.14667159 8.03929101]
46146,0,193,138,97,0,[0.41320608 0.58679392],[5.23608458 7.43576329]
47556,0,216,154,115,0,[0.3190999 0.6809001],[3.97900189 8.49045325]
49423,0,227,172,152,0,[0.36931031 0.63068969],[5.02803686 8.58663005]
50656,0,193,139,101,0,[0.42654035 0.57345965],[5.57097974 7.48987075]
51152,1,2,28,29,1,[0.81576818 0.18423182],[50.47813694 11.39990447]
52983,1,135,176,180,1,[0.70457781 0.29542219],[16.1142045   6.75651917]
53329,1,134,178,179,1,[0.57263852 0.42736148],[8.99769449 6.71500065]
53620,1,115,166,167,1,[0.66273736 0.33726264],[12.47672782  6.34932393]
53809,1,119,167,169,1,[0.84893312 0.15106688],[35.95441961  6.39805626]
55548,1,130,174,177,1,[0.61416328 0.38583672],[10.58066611  6.64710767]
55642,1,87,145,147,1,[0.65508738 0.34491262],[11.62842011  6.12252497]
64168,1,132,177,180,1,[0.5793525 0.4206475],[9.22461262 6.69766732]
66350,1,207,49,74,1,[0.53257643 0.46742357],[10.97959234  9.63640126]
66958,1,133,178,181,1,[0.5971229 0.4028771],[10.08026987  6.80112917]
67237,1,143,183,185,1,[0.60452444 0.39547556],[10.78996795  7.05871988]
67998,1,255,254,255,1,[0.53296891 0.46703109],[17.1700143  15.04577541]
68497,1,32,83,84,1,[0.79448606 0.20551394],[29.76899648  7.70050495]
71893,1,113,164,167,1,[0.66814864 0.33185136],[12.76491286  6.33998697]
74352,1,158,198,198,1,[0.53678654 0.46321346],[9.15853654 7.90324844]
78360,1,53,103,102,1,[0.69937511 0.30062489],[15.98208204  6.86986363]
79567,1,23,69,67,1,[0.78977487 0.21022513],[32.67454805  8.69742934]
82527,1,110,132,254,1,[0.66538235 0.33461765],[16.56741583  8.33167527]
83908,1,158,198,198,1,[0.56013111 0.43986889],[9.95453684 7.81726113]
84176,1,154,100,188,1,[0.6015542 0.3984458],[10.68319743  7.07612917]
84531,1,17,62,59,1,[0.7647564 0.2352436],[30.46793726  9.37211827]
86725,1,40,94,94,1,[0.7106003 0.2893997],[18.03028979  7.3430316 ]
86816,1,40,82,80,1,[0.81147542 0.18852458],[32.47225779  7.54405959]
86989,1,153,96,177,1,[0.54145675 0.45854325],[8.1454063  6.89809693]
88382,1,147,191,190,1,[0.56262768 0.43737232],[9.40384097 7.3103047 ]
89462,1,162,200,201,1,[0.55523214 0.44476786],[9.98676742 7.99988468]
89544,1,57,116,114,1,[0.77058776 0.22941224],[21.69914081  6.4600671 ]
90202,1,21,63,61,1,[0.78946199 0.21053801],[34.00173884  9.06776843]
90820,1,2,15,21,1,[0.80213408 0.19786592],[50.8496048  12.54329446]
90828,1,1,15,18,1,[0.79615655 0.20384345],[49.52366834 12.67976195]
91010,1,32,34,33,1,[0.82879356 0.17120644],[49.6517528  10.25671556]
91809,1,28,70,69,1,[0.84109617 0.15890383],[44.24509651  8.35899126]
92819,1,73,127,201,1,[0.68657168 0.31342832],[15.20110752  6.93949045]
94286,1,129,177,179,1,[0.60857617 0.39142383],[10.41253079  6.69712842]
95101,1,41,92,95,1,[0.82851239 0.17148761],[34.73263803  7.1890503 ]
95962,1,129,177,179,1,[0.61773078 0.38226922],[10.92995262  6.76376276]
98611,1,8,37,35,1,[0.77004224 0.22995776],[36.68526921 10.95532405]
99103,1,10,14,15,1,[0.79915961 0.20084039],[49.91051207 12.54323511]
99592,1,62,120,121,1,[0.68673129 0.31326871],[14.09910945  6.43164207]
101251,1,111,162,165,1,[0.85068571 0.14931429],[35.7958776   6.28297358]
101396,1,13,48,44,1,[0.76766937 0.23233063],[33.71455527 10.20351226]
101637,1,185,180,186,0,[0.44731542 0.55268458],[5.9020988  7.29239106]
104290,1,36,90,92,1,[0.7528965 0.2471035],[23.49357485  7.71068088]
105040,1,121,171,172,1,[0.60933197 0.39066803],[10.05703185  6.44798064]
107361,1,78,215,233,1,[0.70284085 0.29715915],[21.22105925  8.97220461]
110779,1,164,199,237,1,[0.59102102 0.40897898],[13.05688954  9.03520045]
118317,1,231,119,107,0,[0.39938951 0.60061049],[5.89244038 8.86117783]
118738,1,15,51,49,1,[0.83275993 0.16724007],[48.38904104  9.71779043]
121855,1,164,199,201,1,[0.51943436 0.48056564],[8.60475668 7.96087182]
123861,1,56,114,115,1,[0.77240169 0.22759831],[22.00144885  6.48301614]
124300,1,0,0,2,1,[0.82320078 0.17679922],[66.73945143 14.33366353]
124596,1,48,62,65,1,[0.75165881 0.24834119],[25.61282293  8.46224225]
125012,1,132,180,182,1,[0.58034888 0.41965112],[9.3643877  6.77140243]
125087,1,250,250,248,1,[0.53563503 0.46436497],[17.01408902 14.75024334]
126843,1,24,38,41,1,[0.82768852 0.17231148],[51.31756441 10.68349388]
127352,1,128,176,178,1,[0.64115464 0.35884536],[11.9581932   6.69283497]
127821,1,0,7,89,1,[0.75379474 0.24620526],[34.19638406 11.16926019]
128545,1,129,171,169,1,[0.6152514 0.3847486],[10.39928906  6.50321474]
132733,1,63,112,109,1,[0.7656141 0.2343859],[21.01824931  6.4345488 ]
133981,1,128,176,178,1,[0.63465651 0.36534349],[11.3456809   6.53120333]
135867,1,157,195,196,1,[0.53673893 0.46326107],[9.01068438 7.77715027]
139900,1,92,136,135,1,[0.74778251 0.25221749],[17.71087641  5.97365234]
141884,1,129,174,177,1,[0.58717377 0.41282623],[9.37734171 6.59295897]
147028,1,158,196,197,1,[0.58032429 0.41967571],[10.74016563  7.76701353]
147651,1,141,181,181,1,[0.59444938 0.40555062],[9.34745777 6.37710697]
148263,1,92,138,138,1,[0.8548141 0.1451859],[35.57216375  6.04175398]
148618,1,12,28,25,1,[0.79582115 0.20417885],[43.94517453 11.27473799]
149414,1,90,135,132,1,[0.85484022 0.14515978],[35.62202044  6.04894853]
154640,1,89,145,146,1,[0.73327424 0.26672576],[16.64215498  6.05352164]
157789,1,89,135,132,1,[0.70606705 0.29393295],[14.55345519  6.05854631]
158642,1,128,176,178,1,[0.62113195 0.37886805],[10.94145248  6.67389068]
159773,1,128,176,178,1,[0.62113195 0.37886805],[10.94145248  6.67389068]
160189,1,88,139,142,1,[0.73825188 0.26174812],[16.96489154  6.01492322]
160520,1,87,138,139,1,[0.70871881 0.29128119],[14.76639706  6.06894261]
162499,1,135,179,180,1,[0.60201839 0.39798161],[10.2680259  6.7879745]
164066,1,14,50,50,1,[0.82551718 0.17448282],[45.94978304  9.71203037]
165308,1,54,54,54,1,[0.79587968 0.20412032],[35.71125962  9.15891443]
165502,1,255,255,128,0,[0.45249019 0.54750981],[10.60223805 12.82863026]
165789,1,123,171,171,1,[0.61530165 0.38469835],[10.38321445  6.49178413]
166200,1,156,95,100,1,[0.62153627 0.37846373],[11.37446711  6.9261013 ]
167810,1,96,146,145,1,[0.7161913 0.2838087],[15.22225014  6.03219695]
169483,1,104,154,153,1,[0.66043161 0.33956839],[11.86886111  6.10250945]
170538,1,151,191,193,1,[0.59166305 0.40833695],[10.71439354  7.39455116]
179558,1,101,151,150,1,[0.63715566 0.36284434],[10.70813902  6.0980195 ]
181525,1,131,131,131,1,[0.588011 0.411989],[8.72466986 6.11292644]
181647,1,114,162,164,1,[0.69451278 0.30548722],[13.21568034  5.81302691]
183654,1,85,104,162,1,[0.74708466 0.25291534],[18.63810839  6.309678  ]
185057,1,162,197,199,1,[0.56916573 0.43083427],[10.35900581  7.84132728]
185074,1,145,189,190,1,[0.56082331 0.43917669],[9.23826418 7.23441818]
186349,1,181,2,0,1,[0.72511521 0.27488479],[35.20025026 13.34410477]
187384,1,109,158,155,1,[0.64489724 0.35510276],[11.15174179  6.14053532]
188736,1,230,235,241,1,[0.50941055 0.49058945],[12.75470261 12.28345673]
189124,1,88,139,132,1,[0.75451381 0.24548619],[18.43725505  5.998686  ]
189282,1,219,225,237,1,[0.50454316 0.49545684],[11.98405464 11.76823395]
190481,1,120,120,120,1,[0.66777295 0.33222705],[12.26676541  6.1028997 ]
191502,1,204,212,225,0,[0.49482289 0.50517711],[10.0526498  10.26300246]
192063,1,209,205,232,0,[0.46997758 0.53002242],[ 9.1763982  10.34878467]
194707,1,93,142,139,1,[0.71325637 0.28674363],[14.92164452  5.99880585]
196454,1,220,195,92,0,[0.37542557 0.62457443],[5.67220288 9.43652532]
197130,1,136,182,182,1,[0.61096527 0.38903473],[9.98787671 6.35982285]
197915,1,162,197,199,1,[0.55472507 0.44527493],[9.93236127 7.97265489]
198731,1,22,27,85,1,[0.79341476 0.20658524],[37.06143367  9.64986489]
199518,1,162,172,233,1,[0.58996664 0.41003336],[12.06656404  8.38639604]
200880,1,55,105,102,1,[0.80190837 0.19809163],[27.22999395  6.72649639]
204081,1,162,197,199,1,[0.50611816 0.49388184],[8.01433264 7.82057153]
204549,1,166,175,244,1,[0.58185756 0.41814244],[12.36844756  8.88838306]
207150,1,24,60,58,1,[0.8300685 0.1699315],[43.65869768  8.93780194]
208607,1,123,162,159,1,[0.60744794 0.39255206],[9.70508298 6.27173135]
211545,1,21,55,54,1,[0.82916024 0.17083976],[44.98460055  9.26860431]
216761,1,131,175,178,1,[0.63676776 0.36323224],[10.76186757  6.13890585]
217655,1,13,28,25,1,[0.82371127 0.17628873],[55.30354193 11.83593236]
223287,1,22,56,55,1,[0.78681946 0.21318054],[34.6241981   9.38106615]
224664,1,247,253,39,0,[0.46535114 0.53464886],[11.7856238  13.54067905]
228333,1,23,57,56,1,[0.82491115 0.17508885],[45.80317339  9.72180476]
229897,1,121,157,153,1,[0.85159717 0.14840283],[35.4849549   6.18375432]
230397,1,0,128,0,1,[0.79219022 0.20780978],[41.83156283 10.97338424]
231874,1,131,175,178,1,[0.61076532 0.38923468],[10.57286603  6.73798259]
232348,1,219,206,42,0,[0.43073558 0.56926442],[ 8.17863869 10.80897005]
233059,1,111,161,170,1,[0.70602464 0.29397536],[13.94451351  5.80623271]
234111,1,131,175,178,1,[0.63199001 0.36800999],[11.51746533  6.70666028]
235136,1,134,182,184,1,[0.6027896 0.3972104],[10.47620125  6.90333094]
235995,1,114,164,163,1,[0.66419356 0.33580644],[12.4708886   6.30509677]
236056,1,126,152,149,1,[0.63218526 0.36781474],[10.46229917  6.08712057]
236606,1,129,161,158,1,[0.77861852 0.22138148],[22.15316231  6.29871987]
237273,1,23,68,63,1,[0.82809908 0.17190092],[41.29611018  8.57245183]
241530,1,34,83,80,1,[0.8376236 0.1623764],[39.96550372  7.7474593 ]
242565,1,2,2,2,1,[0.73993253 0.26006747],[39.4336001  13.85990783]
